Accident_Index,Latitude,Longitude,Region,Urban_or_Rural_Area,X1st_Road_Class,Driver_IMD_Decile,Speed_limit,Road_Type,Road_Surface_Conditions,Weather,High_Wind,Lights,Datetime,Year,Season,Month_of_Year,Day_of_Month,Day_of_Week,Hour_of_Day,Number_of_Vehicles,Age_of_Driver,Age_of_Vehicle,Junction_Detail,Junction_Location,X1st_Point_of_Impact,Driver_Journey_Purpose,Engine_CC,Propulsion_Code,Vehicle_Make,Vehicle_Category,Vehicle_Manoeuvre,Accident_Severity,Hour_of_Day_dn
2010460183882,51.246778,0.414604,South East England,Rural,B,9,30,Single carriageway,Dry,Fine,No,Daylight,2010-03-07 08:56:00,2010,4,3,7,7,0.372000,2,6,4,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,1388,Petrol,Ford,Car,Going ahead,Slight,9.000000
2012471204885,50.957999,0.107241,South East England,Urban,C,10,40,Single carriageway,Dry,Fine,No,Daylight,2012-09-19 07:51:00,2012,2,9,19,3,0.327000,2,4,8,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Journey as part of work,1995,Heavy oil,Vauxhall,Car,Turning right,Slight,8.000000
201250FB2C005,50.391416,-3.530316,South West England,Urban,Unclassified,6,30,Single carriageway,Dry,Fine,No,Daylight,2012-07-08 11:08:00,2012,2,7,8,7,0.464000,2,4,5,T or staggered junction,Mid Junction - on roundabout or on main road,Back,Other/Not known,1753,Heavy oil,Ford,Car,Turning right,Slight,11.000000
2012331200384,52.646675,-0.801260,East Midlands,Rural,C,6,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2012-01-22 16:50:00,2012,4,1,22,7,0.701000,1,5,17,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,2495,Heavy oil,Land Rover,Car,Going ahead,Slight,17.000000
2014160C07031,53.934216,-0.736056,Yorkshire and the Humber,Rural,B,4,60,Single carriageway,Wet or damp,Raining,No,Darkness - no lights,2014-11-08 16:00:00,2014,3,11,8,6,0.667000,2,2,20,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,500,Petrol,Suzuki,Motorcycle,Going ahead,Fatal_Serious,16.000000
2011460196154,51.084129,0.692148,South East England,Rural,A,7,40,Dual carriageway,Dry,Fine,No,Daylight,2011-01-18 10:20:00,2011,4,1,18,2,0.431000,2,8,6,T or staggered junction,Entering main road,Front,Other/Not known,1339,Petrol,Honda,Car,Turning right,Slight,10.000000
2011471101913,50.889392,0.556472,South East England,Urban,Unclassified,8,30,Single carriageway,Dry,Fine,No,Daylight,2011-03-26 08:16:00,2011,1,3,26,6,0.344000,1,4,4,Roundabout,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1242,Petrol,Ford,Car,Slowing or stopping,Fatal_Serious,8.000000
201105EE06248,53.402572,-2.973131,North West England,Urban,Unclassified,2,30,Single carriageway,Dry,Fine,No,Darkness - lights,2011-10-25 13:55:00,2011,3,10,25,2,0.580000,2,2,12,T or staggered junction,Leaving main road,Front,Other/Not known,796,Petrol,Other,Car,Turning right,Slight,14.000000
2014471404027,50.836504,-0.317573,South East England,Urban,A,4,40,Roundabout,Dry,Fine,No,Daylight,2014-07-16 15:20:00,2014,2,7,16,3,0.639000,2,3,1,Roundabout,Leaving roundabout,Nearside,Journey as part of work,1995,Heavy oil,Vauxhall,Van,Going ahead,Fatal_Serious,15.000000
2012440044700,50.865340,-1.008728,South East England,Urban,Unclassified,6,30,Single carriageway,Dry,Fine,No,Daylight,2012-02-01 09:25:00,2012,4,2,1,3,0.392000,2,5,12,T or staggered junction,Approaching junction or waiting/parked at junction approach,Offside,Other/Not known,1596,Petrol,Ford,Car,Changing lane,Fatal_Serious,9.000000
201142I222407,51.605528,0.517366,East England,Urban,Unclassified,4,30,Single carriageway,Wet or damp,Raining,No,Daylight,2011-07-16 10:50:00,2011,2,7,16,6,0.451000,2,5,8,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,498,Petrol,Other,Motorcycle,Going ahead,Slight,11.000000
201231D017512,52.983835,-1.114278,East Midlands,Urban,C,3,30,Single carriageway,Wet or damp,Raining,No,Darkness - lights,2012-01-19 18:20:00,2012,4,1,19,4,0.764000,3,1,12,T or staggered junction,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,973,Petrol,Vauxhall,Taxi,Going ahead,Slight,18.000000
201243P240112,51.880158,-1.129318,South East England,Rural,A,4,60,Single carriageway,Wet or damp,Fine,Yes,Darkness - lights,2012-11-22 17:05:00,2012,3,11,22,4,0.712000,2,6,8,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1360,Petrol,Peugeot,Car,Slowing or stopping,Slight,17.000000
201443S123034,52.031913,-0.766080,South East England,Urban,C,6,70,Dual carriageway,Dry,Fine,No,Daylight,2014-03-29 14:13:00,2014,1,3,29,6,0.592000,2,4,9,Roundabout,Mid Junction - on roundabout or on main road,Nearside,Journey as part of work,1896,Heavy oil,Volkswagen,Taxi,Turning right,Slight,14.000000
201320H008373,52.634243,-1.929042,Wast Midlands,Urban,B,4,30,Single carriageway,Dry,Fine,No,Daylight,2013-10-04 16:24:00,2013,3,10,4,5,0.683000,2,3,7,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1870,Heavy oil,Vauxhall,Van,Turning right,Slight,16.000000
201101MM70776,51.501948,-0.077696,London,Urban,A,1,30,Single carriageway,Dry,Fine,No,Darkness - lights,2011-10-14 19:24:00,2011,3,10,14,5,0.808000,2,4,5,Crossroads,Cleared junction or waiting/parked at junction exit,Offside,Journey as part of work,2987,Heavy oil,Mercedes,Car,U-turn,Slight,19.000000
201401PL60420,51.475140,-0.039079,London,Urban,A,3,30,Single carriageway,Dry,Fine,No,Daylight,2014-05-25 12:00:00,2014,1,5,25,7,0.500000,2,6,9,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1596,Petrol,Ford,Car,Turning right,Slight,12.000000
201420G500754,52.620259,-2.129808,Wast Midlands,Urban,A,7,40,Dual carriageway,Dry,Fine,No,Daylight,2014-09-26 09:55:00,2014,3,9,26,5,0.413000,2,5,18,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Other/Not known,1996,Petrol,Mercedes,Car,Parked,Slight,10.000000
2011331100551,52.471876,-0.996818,East Midlands,Rural,A,10,60,Single carriageway,Wet or damp,Other,No,Darkness - no lights,2011-01-22 19:10:00,2011,4,1,22,6,0.799000,1,3,10,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,998,Petrol,Toyota,Car,Going ahead,Slight,19.000000
2010520001584,51.118307,-3.532619,South West England,Rural,Unclassified,9,60,Single carriageway,Snow,Snowing,No,Daylight,2010-02-19 12:53:00,2010,4,2,19,5,0.537000,1,6,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1242,Petrol,Fiat,Car,Going ahead,Slight,13.000000
2013140002966,53.467714,-1.329916,Yorkshire and the Humber,Urban,Unclassified,3,30,Single carriageway,Dry,Fine,No,Daylight,2013-01-28 15:25:00,2013,4,1,28,1,0.642000,1,5,6,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Other/Not known,1598,Petrol,Renault,Car,Reversing,Slight,15.000000
201301HT20921,51.509724,-0.047538,London,Urban,A,9,30,Single carriageway,Dry,Fine,No,Daylight,2013-11-18 15:15:00,2013,3,11,18,1,0.635000,2,5,4,T or staggered junction,Approaching junction or waiting/parked at junction approach,Did not impact,Journey as part of work,2148,Heavy oil,Mercedes,Taxi,U-turn,Slight,15.000000
2014360078677,52.583600,1.718944,East England,Urban,A,4,30,Single carriageway,Dry,Fine,No,Daylight,2014-02-24 17:30:00,2014,4,2,24,1,0.729000,2,2,13,Crossroads,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1124,Petrol,Peugeot,Car,Slowing or stopping,Slight,17.000000
201120W008831,52.478866,-1.891009,Wast Midlands,Urban,B,1,30,One way street,Dry,Unknown,No,Daylight,2011-01-30 14:00:00,2011,4,1,30,7,0.583000,2,6,8,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Journey as part of work,1850,Petrol,Honda,Taxi,Slowing or stopping,Slight,14.000000
201322F303038,52.971940,-2.632691,Wast Midlands,Rural,A,3,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2013-08-18 22:45:00,2013,2,8,18,7,0.948000,2,3,10,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1198,Petrol,Seat,Car,Going ahead,Slight,23.000000
2010210000512,52.711757,-2.001743,Wast Midlands,Urban,Unclassified,3,30,Single carriageway,Wet or damp,Fine,Yes,Daylight,2010-01-19 15:05:00,2010,4,1,19,2,0.628000,2,6,1,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Taking pupil to/from school,1388,Petrol,Ford,Car,Overtaking,Slight,15.000000
2011331103090,52.664525,-0.515670,East Midlands,Urban,B,8,60,Single carriageway,Dry,Fine,No,Daylight,2011-06-06 12:55:00,2011,1,6,6,1,0.538000,2,1,5,Private drive or entrance,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,49,Petrol,Other,Motorcycle,Slowing or stopping,Slight,13.000000
2011471107542,50.855041,0.572496,South East England,Urban,A,3,30,Single carriageway,Wet or damp,Raining,Yes,Darkness - lights,2011-11-29 16:38:00,2011,3,11,29,2,0.693000,2,7,1,T or staggered junction,Entering main road,Front,Other/Not known,1229,Petrol,Vauxhall,Car,Moving off,Slight,17.000000
201420W029924,52.493627,-1.910857,Wast Midlands,Urban,A,3,30,Dual carriageway,Dry,Fine,No,Daylight,2014-06-02 09:48:00,2014,1,6,2,1,0.408000,2,2,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Commuting to/from work,2148,Heavy oil,Mercedes,Car,Overtaking,Slight,10.000000
2012350096112,52.548603,-0.238029,East England,Rural,A,8,40,Roundabout,Dry,Fine,No,Darkness - lights,2012-02-28 19:56:00,2012,4,2,28,2,0.831000,2,4,9,Roundabout,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1689,Heavy oil,Mercedes,Car,Going ahead,Slight,20.000000
201134WN30521,52.230752,-0.868284,East Midlands,Rural,A,10,60,Dual carriageway,Dry,Fine,No,Daylight,2011-09-02 13:44:00,2011,2,9,2,5,0.572000,3,1,15,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Commuting to/from work,899,Petrol,Fiat,Car,Going ahead,Slight,14.000000
2012460220725,51.440542,0.240473,South East England,Urban,B,3,30,Single carriageway,Dry,Fine,No,Daylight,2012-11-07 14:10:00,2012,3,11,7,3,0.590000,2,5,5,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Journey as part of work,1796,Petrol,Vauxhall,Car,Going ahead,Slight,14.000000
2010521008334,51.345523,-2.938988,South West England,Rural,A,8,50,Dual carriageway,Dry,Fine,No,Daylight,2010-10-20 08:35:00,2010,3,10,20,3,0.358000,2,6,16,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,2972,Petrol,Other,Car,Going ahead,Slight,9.000000
201143W237101,51.431745,-0.857209,South East England,Rural,A(M),5,70,Dual carriageway,Wet or damp,Raining,No,Darkness - no lights,2011-10-30 19:32:00,2011,3,10,30,7,0.814000,3,3,15,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1332,Petrol,Toyota,Car,Going ahead,Slight,20.000000
2011360061566,52.604914,1.732748,East England,Urban,C,1,30,Single carriageway,Wet or damp,Fine,No,Daylight,2011-06-23 18:53:00,2011,2,6,23,4,0.787000,1,4,12,Crossroads,Approaching junction or waiting/parked at junction approach,Front,Commuting to/from work,124,Petrol,Honda,Motorcycle,Slowing or stopping,Fatal_Serious,19.000000
201301PY20613,51.351350,0.068226,London,Rural,C,7,30,Single carriageway,Wet or damp,Other,No,Darkness - no lights,2013-10-13 23:15:00,2013,3,10,13,7,0.969000,2,1,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,998,Petrol,Vauxhall,Car,Going ahead,Fatal_Serious,23.000000
2010331006189,52.640521,-1.072178,East Midlands,Urban,A,2,30,Dual carriageway,Dry,Fine,No,Daylight,2010-10-27 15:30:00,2010,3,10,27,3,0.646000,2,6,17,T or staggered junction,Leaving main road,Nearside,Other/Not known,1120,Petrol,Rover,Car,Turning right,Fatal_Serious,16.000000
201301QK50589,51.552833,-0.285577,London,Urban,A,3,30,Single carriageway,Wet or damp,Raining,No,Darkness - lights,2013-09-13 21:20:00,2013,2,9,13,5,0.889000,2,5,8,T or staggered junction,Mid Junction - on roundabout or on main road,Front,Other/Not known,1497,Petrol,Nissan,Car,Going ahead,Slight,21.000000
2010440420761,50.850230,-1.222077,South East England,Urban,A,3,40,Dual carriageway,Wet or damp,Fine,No,Daylight,2010-10-04 10:45:00,2010,3,10,4,1,0.448000,2,3,6,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1390,Petrol,Renault,Car,Turning right,Slight,11.000000
201350DE2E005,50.740635,-3.465037,South West England,Urban,Unclassified,9,30,Single carriageway,Dry,Fine,No,Daylight,2013-04-20 12:45:00,2013,1,4,20,6,0.531000,2,7,30,T or staggered junction,Leaving main road,Front,Journey as part of work,650,Petrol,BMW,Motorcycle,Turning left,Slight,13.000000
2012552D39161,50.813005,-1.871938,South West England,Rural,A,8,50,Roundabout,Dry,Fine,No,Daylight,2012-09-16 18:38:00,2012,2,9,16,7,0.776000,2,1,9,Roundabout,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,645,Petrol,Suzuki,Motorcycle,Going ahead,Slight,19.000000
201401HT20407,51.525020,-0.064327,London,Urban,B,6,30,Single carriageway,Dry,Fine,No,Daylight,2014-05-16 18:34:00,2014,1,5,16,5,0.774000,2,3,7,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1242,Petrol,Ford,Car,Waiting to go,Fatal_Serious,19.000000
201020M001950,52.390312,-1.483158,Wast Midlands,Urban,A,6,40,Dual carriageway,Dry,Fine,No,Daylight,2010-04-17 12:45:00,2010,1,4,17,6,0.531000,2,2,6,Roundabout,Approaching junction or waiting/parked at junction approach,Back,Other/Not known,1360,Petrol,Peugeot,Car,Slowing or stopping,Slight,13.000000
2013400CA0267,51.866720,-0.418042,East England,Urban,Unclassified,2,30,Single carriageway,Dry,Fine,No,Darkness - lights,2013-03-29 19:13:00,2013,1,3,29,5,0.801000,2,3,7,T or staggered junction,Mid Junction - on roundabout or on main road,Offside,Other/Not known,1229,Petrol,Vauxhall,Car,Turning right,Slight,19.000000
201022F001341,52.712160,-2.677331,Wast Midlands,Rural,Unclassified,8,60,Single carriageway,Dry,Fine,No,Darkness - no lights,2010-03-15 22:45:00,2010,4,3,15,1,0.948000,2,1,4,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1198,Petrol,Volkswagen,Car,Going ahead,Slight,23.000000
201142I416812,51.886105,0.904204,East England,Urban,A,9,30,Single carriageway,Dry,Fine,No,Daylight,2011-12-17 13:35:00,2011,3,12,17,6,0.566000,2,4,3,Roundabout,Entering roundabout,Front,Other/Not known,1997,Heavy oil,Ford,Car,Moving off,Fatal_Serious,14.000000
201342I276509,51.550740,0.656809,East England,Urban,Unclassified,5,30,Single carriageway,Wet or damp,Fine,No,Daylight,2013-09-09 08:00:00,2013,2,9,9,1,0.333000,2,3,6,Crossroads,Mid Junction - on roundabout or on main road,Front,Commuting to/from work,1596,Petrol,Ford,Car,Going ahead,Slight,8.000000
201130D000001,52.896300,-1.469875,East Midlands,Urban,A,7,40,Single carriageway,Wet or damp,Fine,No,Darkness - lights,2011-01-01 07:05:00,2011,4,1,1,6,0.295000,2,3,4,Crossroads,Entering main road,Front,Other/Not known,1995,Heavy oil,BMW,Car,Going ahead,Slight,7.000000
201206X058788,53.486826,-2.651811,North West England,Urban,Motorway,10,70,Slip road,Dry,Fine,No,Daylight,2012-04-05 11:45:00,2012,1,4,5,4,0.490000,3,7,3,Slip road,Approaching junction or waiting/parked at junction approach,Did not impact,Commuting to/from work,1956,Heavy oil,Vauxhall,Car,Going ahead,Slight,12.000000
2013236666913,52.469004,-1.637690,Wast Midlands,Rural,Motorway,2,70,Dual carriageway,Dry,Fine,Yes,Daylight,2013-12-05 13:00:00,2013,3,12,5,4,0.542000,2,6,14,Not at junction or within 20 metres,Not at or within 20 metres of junction,Nearside,Other/Not known,1998,Petrol,Renault,Car,Overtaking,Slight,13.000000
2014554C16137,50.733933,-1.850048,South West England,Urban,A,9,30,Slip road,Wet or damp,Raining,No,Daylight,2014-04-23 11:45:00,2014,1,4,23,3,0.490000,2,6,5,Roundabout,Entering roundabout,Nearside,Other/Not known,1598,Petrol,Vauxhall,Car,Moving off,Slight,12.000000
2013360073774,52.845095,1.132409,East England,Rural,B,3,60,Single carriageway,Dry,Fine,No,Daylight,2013-08-25 13:30:00,2013,2,8,25,7,0.562000,2,4,15,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1157,Petrol,Suzuki,Motorcycle,Going ahead,Slight,13.000000
201222E201598,52.055912,-2.713741,Wast Midlands,Urban,Unclassified,5,30,One way street,Dry,Fine,No,Daylight,2012-04-12 15:31:00,2012,1,4,12,4,0.647000,2,3,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Back,Journey as part of work,1968,Heavy oil,Audi,Car,Slowing or stopping,Slight,16.000000
201045MO50336,51.314526,-0.335372,South East England,Urban,B,6,30,Single carriageway,Dry,Fine,No,Daylight,2010-05-11 10:38:00,2010,1,5,11,2,0.443000,1,3,2,T or staggered junction,Leaving main road,Front,Other/Not known,659,Petrol,Yamaha,Motorcycle,Going ahead,Fatal_Serious,11.000000
2012120129915,54.049151,-1.175952,Yorkshire and the Humber,Rural,A,4,60,Single carriageway,Dry,Fine,No,Daylight,2012-08-07 14:01:00,2012,2,8,7,2,0.584000,2,3,9,Not at junction or within 20 metres,Not at or within 20 metres of junction,Front,Other/Not known,1598,Petrol,Vauxhall,Car,Going ahead,Fatal_Serious,14.000000
2012471202787,51.080034,-0.052978,South East England,Rural,Unclassified,10,30,Single carriageway,Dry,Fine,No,Daylight,2012-05-31 09:04:00,2012,1,5,31,4,0.378000,2,6,7,Crossroads,Mid Junction - on roundabout or on main road,Front,Journey as part of work,49,Petrol,Other,Motorcycle,Going ahead,Fatal_Serious,9.000000
2012440017288,51.038833,-0.890166,South East England,Rural,B,10,30,Single carriageway,Dry,Fine,No,Daylight,2012-01-12 13:40:00,2012,4,1,12,4,0.569000,2,7,2,Not at junction or within 20 metres,Not at or within 20 metres of junction,Did not impact,Taking pupil to/from school,2402,Heavy oil,Ford,Bus/minibus,Parked,Fatal_Serious,14.000000
2012450000514,51.140145,-0.038985,South East England,Urban,A,10,40,Single carriageway,Dry,Fine,No,Darkness - lights,2012-11-21 18:24:00,2012,3,11,21,3,0.767000,2,1,3,Not at junction or within 20 metres,Not at or within 20 metres of junction,Offside,Other/Not known,1388,Petrol,Ford,Car,Changing lane,Slight,18.000000
201142I034802,51.761597,0.473433,East England,Urban,B,10,30,Single carriageway,Dry,Fine,No,Darkness - lights,2011-02-01 20:54:00,2011,4,2,1,2,0.871000,1,4,6,Private drive or entrance,Approaching junction or waiting/parked at junction approach,Did not impact,Other/Not known,2198,Petrol,Vauxhall,Car,Turning left,Fatal_Serious,21.000000
201231A088912,53.120361,-1.188847,East Midlands,Rural,A,7,40,Single carriageway,Wet or damp,Raining,No,Daylight,2012-04-17 06:50:00,2012,1,4,17,2,0.285000,2,6,9,Crossroads,Mid Junction - on roundabout or on main road,Front,Commuting to/from work,1396,Petrol,Rover,Car,Going ahead,Slight,7.000000
201250BD2C010,50.486179,-4.471148,South West England,Rural,C,2,30,Single carriageway,Dry,Fine,No,Daylight,2012-12-25 13:57:00,2012,4,12,25,2,0.581000,1,3,14,T or staggered junction,Approaching junction or waiting/parked at junction approach,Front,Other/Not known,1597,Petrol,Ford,Car,Turning right,Slight,14.000000
